area,bbox_area,convex_area,solidity,perimeter,euler_number,centroid-0,centroid-1,eccentricity,equivalent_diameter,feret_diameter_max,major_axis_length,minor_axis_length,orientation,mean_intensity,max_intensity,total_area,entropy,obj_intensity_sum,total_intensity_sum,distance_bin_0,distance_bin_1,distance_bin_2,distance_bin_3,distance_bin_4,distance_bin_5,distance_bin_6,distance_bin_7,distance_bin_8,distance_bin_9,patchID,patchsize,object_size
855,1225,946,0.903805497,130.0538239,1,40.9122807,40.61403509,0.152633677,32.99423905,36.05551275,33.35098192,32.96020294,-0.663673963,88.58128655,151,877,5.362797231,77323,146399,5690,132,112,101,90,141,50,40,29,15,32,80,4.5
625,930,699,0.894134478,109.8406204,0,40.0912,39.968,0.333100791,28.20947918,31.32091953,29.23946727,27.56963712,-0.697448851,79.7824,124,625,5.043962353,49864,113486,5775,129,101,90,77,67,58,47,34,22,33,80,4.5
979,1440,1072,0.913246269,136.6101731,1,39.61389173,40.24310521,0.290967243,35.30582833,40.31128874,36.31032309,34.73928492,1.285258594,63.32073544,114,984,5.384809995,62189,127541,5588,134,117,106,95,163,65,54,40,38,34,80,4.5
1061,1600,1172,0.905290102,150.746212,1,39.63147974,39.52780396,0.325499882,36.75468891,40.85339643,38.01614272,35.94586269,-0.474992558,64.35721018,108,1064,5.408832754,68404,137853,5519,145,128,215,92,82,131,45,27,16,35,80,4.5
666,960,745,0.893959732,113.5685425,0,40.13513514,40.2012012,0.460205209,29.12005386,33.24154028,31.14258325,27.64877699,-0.679293837,113.7402402,167,666,5.559795103,75751,160928,5734,137,106,93,81,72,60,51,38,28,36,80,4.5
750,1110,859,0.873108265,130.8111832,0,40.08533333,40.452,0.593142791,30.90193616,38.27531842,34.80244729,28.01935563,-0.132559859,61.556,96,814,5.3733103,49068,117557,5778,134,108,90,80,68,57,38,25,22,37,80,4.5
1196,1806,1314,0.910197869,155.7817459,0,40.07023411,39.73327759,0.341512511,39.02299957,43.56604182,40.45583,38.02351338,-0.461677097,67.03762542,115,1215,5.730212044,81004,166906,5391,160,250,106,96,168,69,105,34,21,38,80,4.5
1206,1848,1371,0.879649891,170.9888527,1,40.29436153,40.62603648,0.337350784,39.18579961,44.91102315,40.68604269,38.30098676,-0.79215343,47.96268657,94,1213,5.154186978,58060,107607,5396,148,259,109,98,167,70,103,31,19,39,80,4.5
952,1365,1103,0.863100635,186.3675324,-2,40.04726891,40.02731092,0.306276853,34.8155719,40.71854614,36.36087112,34.61345791,-0.327782225,49.80147059,89,960,5.022028398,47661,98470,5673,133,115,103,88,139,55,44,30,20,40,80,4.5
1196,1935,1319,0.906747536,167.1959595,1,39.72826087,40.01254181,0.29184485,39.02299957,45.70557953,40.24015918,38.48833093,-0.985368994,60.92307692,108,1199,5.414869729,72980,136977,5403,147,132,237,104,96,150,57,40,34,41,80,4.5
784,1188,910,0.861538462,139.2609307,-3,40.65433673,40.09438776,0.559776133,31.59461668,37.33630941,35.1671201,29.14101888,-0.487487932,72.04336735,122,793,5.443726921,56888,131752,5786,120,101,90,82,71,55,44,31,20,42,80,4.5
1023,1680,1184,0.86402027,165.2314934,0,41.05962854,39.55620723,0.619432913,36.09049812,44.29446918,41.11893974,32.28040696,1.04183664,58.13978495,103,1120,5.604766896,64064,134776,5510,163,142,121,106,175,70,52,36,25,43,80,4.5
718,1088,784,0.915816327,113.6040764,1,39.95125348,40.1908078,0.419006481,30.23550881,35.11409973,31.87834783,28.94500563,0.618283267,82.21587744,131,719,4.952278757,59082,117087,5818,110,97,85,76,66,53,41,31,23,44,80,4.5
863,1225,960,0.898958333,129.6040764,1,41.23986095,36.89107764,0.304726955,33.14823867,36.40054945,34.14316006,32.51930293,-1.565409271,67.93858633,167,1027,5.575858046,73006,146235,5574,160,140,122,103,156,50,42,29,24,45,80,4.5
776,1152,861,0.901277584,120.1543289,1,40.26675258,39.54510309,0.562586313,31.43300633,37.69615365,34.79846687,28.76923426,-0.998615446,61.49484536,98,779,4.959937607,47834,105340,5764,118,105,92,83,74,60,48,34,22,46,80,4.5
915,1480,1049,0.872259295,156.5746391,-2,39.71147541,39.54535519,0.646512672,34.1323041,41.67733197,39.42605625,30.07826635,-1.101550479,53.87322404,99,919,5.144258501,49431,110693,5669,135,111,102,92,84,67,56,47,37,47,80,4.5
921,1224,980,0.939795918,121.0538239,1,40.01737242,40.07926167,0.335584131,34.24403044,38.07886553,35.37769673,33.32615256,0.312830614,100.1900109,160,921,5.848566311,92275,176436,5623,123,114,104,95,160,61,52,38,30,48,80,4.5
730,992,798,0.914786967,118.8111832,1,39.97123288,40.25205479,0.481960402,30.48712626,34.4818793,32.76812037,28.71119764,0.912388009,85.85616438,141,730,5.042698581,62675,124766,5810,116,99,86,76,66,58,44,30,15,49,80,4.5
1183,1720,1309,0.903743316,169.9888527,-1,40.19611158,40.34404057,0.32735623,38.81033859,43.73785546,40.13346223,37.92214857,-1.441008384,60.48858833,115,1183,5.473870215,71558,134911,5421,153,133,229,98,88,143,56,42,37,50,80,4.5
1282,1804,1404,0.913105413,166.8172798,1,39.58268331,40.0725429,0.331750104,40.4016472,45.88027899,42.04232535,39.66135507,0.429071705,65.80109204,117,1282,5.452107943,84357,152749,5314,165,280,126,112,186,72,99,28,18,51,80,4.5
